name,description,module,path
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says """"help me brainstorm"""" or """"help me ideate"""".","core","_bmad/core/workflows/brainstorming/workflow.md"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations. Use when user requests """"party mode"""" only.","core","_bmad/core/workflows/party-mode/workflow.md"
"create-product-brief","Create product brief through collaborative discovery. Use when the user says """"lets create a product brief"""" or """"help me create a project brief""""","bmm","_bmad/bmm/workflows/1-analysis/create-product-brief/workflow.md"
"domain-research","Conduct domain and industry research. Use when the user says """"lets create a research report on [domain or industry]""""","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-domain-research.md"
"market-research","Conduct market research on competition and customers. Use when the user says """"create a market research report about [business idea]"""".","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-market-research.md"
"technical-research","Conduct technical research on technologies and architecture. Use when the user says """"create a technical research report on [topic]"""".","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-technical-research.md"
"create-prd","Create a PRD from scratch. Use when the user says """"lets create a product requirements document"""" or """"I want to create a new PRD""""","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md"
"edit-prd","Edit an existing PRD. Use when the user says """"edit this PRD"""".","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md"
"validate-prd","Validate a PRD against standards. Use when the user says """"validate this PRD"""" or """"run PRD validation""""","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md"
"create-ux-design","Plan UX patterns and design specifications. Use when the user says """"lets create UX design"""" or """"create UX specifications"""" or """"help me plan the UX""""","bmm","_bmad/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md"
"check-implementation-readiness","Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says """"check implementation readiness"""".","bmm","_bmad/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md"
"create-architecture","Create architecture solution design decisions for AI agent consistency. Use when the user says """"lets create architecture"""" or """"create technical architecture"""" or """"create a solution design""""","bmm","_bmad/bmm/workflows/3-solutioning/create-architecture/workflow.md"
"create-epics-and-stories","Break requirements into epics and user stories. Use when the user says """"create the epics and stories list""""","bmm","_bmad/bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md"
"code-review","Perform adversarial code review finding specific issues. Use when the user says """"run code review"""" or """"review this code""""","bmm","_bmad/bmm/workflows/4-implementation/code-review/workflow.yaml"
"correct-course","Manage significant changes during sprint execution. Use when the user says """"correct course"""" or """"propose sprint change""""","bmm","_bmad/bmm/workflows/4-implementation/correct-course/workflow.yaml"
"create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says """"create the next story"""" or """"create story [story identifier]""""","bmm","_bmad/bmm/workflows/4-implementation/create-story/workflow.yaml"
"dev-story","Execute story implementation following a context filled story spec file. Use when the user says """"dev this story [story file]"""" or """"implement the next story in the sprint plan""""","bmm","_bmad/bmm/workflows/4-implementation/dev-story/workflow.yaml"
"retrospective","Post-epic review to extract lessons and assess success. Use when the user says """"run a retrospective"""" or """"lets retro the epic [epic]""""","bmm","_bmad/bmm/workflows/4-implementation/retrospective/workflow.yaml"
"sprint-planning","Generate sprint status tracking from epics. Use when the user says """"run sprint planning"""" or """"generate sprint plan""""","bmm","_bmad/bmm/workflows/4-implementation/sprint-planning/workflow.yaml"
"sprint-status","Summarize sprint status and surface risks. Use when the user says """"check sprint status"""" or """"show sprint status""""","bmm","_bmad/bmm/workflows/4-implementation/sprint-status/workflow.yaml"
"quick-dev","Implement a Quick Tech Spec for small changes or features. Use when the user provides a quick tech spec and says """"implement this quick spec"""" or """"proceed with implementation of [quick tech spec]""""","bmm","_bmad/bmm/workflows/bmad-quick-flow/quick-dev/workflow.md"
"quick-spec","Very quick process to create implementation-ready quick specs for small changes or features. Use when the user says """"create a quick spec"""" or """"generate a quick tech spec""""","bmm","_bmad/bmm/workflows/bmad-quick-flow/quick-spec/workflow.md"
"document-project","Document brownfield projects for AI context. Use when the user says """"document this project"""" or """"generate project docs""""","bmm","_bmad/bmm/workflows/document-project/workflow.yaml"
"generate-project-context","Create project-context.md with AI rules. Use when the user says """"generate project context"""" or """"create project context""""","bmm","_bmad/bmm/workflows/generate-project-context/workflow.md"
"qa-generate-e2e-tests","Generate end to end automated tests for existing features. Use when the user says """"create qa automated tests for [feature]""""","bmm","_bmad/bmm/workflows/qa-generate-e2e-tests/workflow.yaml"
"create-agent","Create a new BMAD agent with best practices and compliance","bmb","_bmad/bmb/workflows/agent/workflow-create-agent.md"
"edit-agent","Edit existing BMAD agents while maintaining compliance","bmb","_bmad/bmb/workflows/agent/workflow-edit-agent.md"
"validate-agent","Validate existing BMAD agents and offer to improve deficiencies","bmb","_bmad/bmb/workflows/agent/workflow-validate-agent.md"
"create-module-brief","Create product brief for BMAD module development","bmb","_bmad/bmb/workflows/module/workflow-create-module-brief.md"
"create-module","Create a complete BMAD module with agents, workflows, and infrastructure","bmb","_bmad/bmb/workflows/module/workflow-create-module.md"
"edit-module","Edit existing BMAD modules while maintaining coherence","bmb","_bmad/bmb/workflows/module/workflow-edit-module.md"
"validate-module","Run compliance check on BMAD modules against best practices","bmb","_bmad/bmb/workflows/module/workflow-validate-module.md"
"create-workflow","Create a new BMAD workflow with proper structure and best practices","bmb","_bmad/bmb/workflows/workflow/workflow-create-workflow.md"
