name,module,runtimePath,workspaceActivePath,workspaceArchivedPath,status,lookupPriority,routingClass,catalogKind,notes
"agent-builder","bmb","_grimoire-runtime/bmb/agents/agent-builder.md",".github/agents/agent-builder.agent.md",".github/agents/_archived/agent-builder.agent.md","active+archived","1","nominal","builder_utility","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"analyst","bmm","_grimoire-runtime/bmm/agents/analyst.md",".github/agents/analyst.agent.md",".github/agents/_archived/analyst.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"architect","bmm","_grimoire-runtime/bmm/agents/architect.md",".github/agents/architect.agent.md",".github/agents/_archived/architect.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"art-director","cis","_grimoire-runtime/cis/agents/art-director.md",".github/agents/art-director.agent.md","","active","1","nominal","durable_agent","Runtime et wrapper actif alignes."
"brainstorming-coach","cis","_grimoire-runtime/cis/agents/brainstorming-coach.md",".github/agents/brainstorming-coach.agent.md",".github/agents/_archived/brainstorming-coach.agent.md","active+archived","1","nominal","mode_profile","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"creative-problem-solver","cis","_grimoire-runtime/cis/agents/creative-problem-solver.md",".github/agents/creative-problem-solver.agent.md",".github/agents/_archived/creative-problem-solver.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"design-thinking-coach","cis","_grimoire-runtime/cis/agents/design-thinking-coach.md",".github/agents/design-thinking-coach.agent.md",".github/agents/_archived/design-thinking-coach.agent.md","active+archived","1","nominal","mode_profile","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"dev","bmm","_grimoire-runtime/bmm/agents/dev.md",".github/agents/dev.agent.md",".github/agents/_archived/dev.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"grimoire-master","core","_grimoire-runtime/core/agents/grimoire-master.md",".github/agents/grimoire-master.agent.md","","active","1","nominal","durable_agent","Runtime et wrapper actif alignes."
"innovation-strategist","cis","_grimoire-runtime/cis/agents/innovation-strategist.md",".github/agents/innovation-strategist.agent.md",".github/agents/_archived/innovation-strategist.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"module-builder","bmb","_grimoire-runtime/bmb/agents/module-builder.md",".github/agents/module-builder.agent.md",".github/agents/_archived/module-builder.agent.md","active+archived","1","nominal","builder_utility","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"pm","bmm","_grimoire-runtime/bmm/agents/pm.md",".github/agents/pm.agent.md",".github/agents/_archived/pm.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"presentation-master","cis","_grimoire-runtime/cis/agents/presentation-master.md",".github/agents/presentation-master.agent.md",".github/agents/_archived/presentation-master.agent.md","active+archived","1","nominal","output_style","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"qa","bmm","_grimoire-runtime/bmm/agents/qa.md",".github/agents/qa.agent.md",".github/agents/_archived/qa.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"quick-flow-solo-dev","bmm","_grimoire-runtime/bmm/agents/quick-flow-solo-dev.md",".github/agents/quick-flow-solo-dev.agent.md",".github/agents/_archived/quick-flow-solo-dev.agent.md","active+archived","1","nominal","mode_profile","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"rodin","cis","_grimoire-runtime/cis/agents/rodin.md",".github/agents/rodin.agent.md","","active","1","nominal","durable_agent","Runtime et wrapper actif alignes."
"sm","bmm","_grimoire-runtime/bmm/agents/sm.md",".github/agents/sm.agent.md",".github/agents/_archived/sm.agent.md","active+archived","1","nominal","workflow_profile","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"storyteller","cis","_grimoire-runtime/cis/agents/storyteller/storyteller.md",".github/agents/storyteller.agent.md",".github/agents/_archived/storyteller.agent.md","active+archived","1","nominal","output_style","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"tea","tea","_grimoire-runtime/tea/agents/tea.md",".github/agents/tea.agent.md",".github/agents/_archived/tea.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"tech-writer","bmm","_grimoire-runtime/bmm/agents/tech-writer/tech-writer.md",".github/agents/tech-writer.agent.md",".github/agents/_archived/tech-writer.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"ux-designer","bmm","_grimoire-runtime/bmm/agents/ux-designer.md",".github/agents/ux-designer.agent.md",".github/agents/_archived/ux-designer.agent.md","active+archived","1","nominal","durable_agent","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"workflow-builder","bmb","_grimoire-runtime/bmb/agents/workflow-builder.md",".github/agents/workflow-builder.agent.md",".github/agents/_archived/workflow-builder.agent.md","active+archived","1","nominal","builder_utility","Le wrapper actif est nominal; la copie archivee reste hors lookup par defaut."
"bmad-master","","",".github/agents/bmad-master.agent.md","","workspace-only","4","compatibility","compatibility_alias","Wrapper de compatibilite workspace; ne pas traiter comme source de verite runtime."
